tag,ckpt,port,p_hat,n,ci_lo,ci_hi,round
flw_20250821_060608_Unbalanced200_8_8_vs_2_2,models/flw/flw_20250821_060608_Unbalanced200_8_8_vs_2_2/global_round_050.pt,south_louisiana,0.545,1200,0.5167256694743447,0.5729871299504302,50
flw_20250821_060608_Unbalanced200_8_8_vs_2_2,models/flw/flw_20250821_060608_Unbalanced200_8_8_vs_2_2/global_round_149.pt,gulfport,0.4625,800,0.4282107603330616,0.4971476684917218,149
flw_20250821_060608_Unbalanced200_8_8_vs_2_2,models/flw/flw_20250821_060608_Unbalanced200_8_8_vs_2_2/global_round_149.pt,south_louisiana,0.545,1200,0.5167256694743447,0.5729871299504302,149
flw_20250821_060608_Unbalanced200_8_8_vs_2_2,models/flw/flw_20250821_060608_Unbalanced200_8_8_vs_2_2/global_round_006.pt,gulfport,0.4625,800,0.4282107603330616,0.4971476684917218,6
flw_20250821_060608_Unbalanced200_8_8_vs_2_2,models/flw/flw_20250821_060608_Unbalanced200_8_8_vs_2_2/global_round_006.pt,south_louisiana,0.545,1200,0.5167256694743447,0.5729871299504302,6
flw_20250821_061455_epMix_fair_unbalanced200,models/flw/flw_20250821_061455_epMix_fair_unbalanced200/global_round_127.pt,gulfport,0.4625,800,0.4282107603330616,0.4971476684917218,127
flw_20250821_061455_epMix_fair_unbalanced200,models/flw/flw_20250821_061455_epMix_fair_unbalanced200/global_round_127.pt,south_louisiana,0.545,1200,0.5167256694743447,0.5729871299504302,127
flw_20250821_061455_epMix_fair_unbalanced200,models/flw/flw_20250821_061455_epMix_fair_unbalanced200/global_round_186.pt,gulfport,0.4625,800,0.4282107603330616,0.4971476684917218,186
flw_20250821_061455_epMix_fair_unbalanced200,models/flw/flw_20250821_061455_epMix_fair_unbalanced200/global_round_186.pt,south_louisiana,0.545,1200,0.5167256694743447,0.5729871299504302,186
flw_20250821_061455_epMix_fair_unbalanced200,models/flw/flw_20250821_061455_epMix_fair_unbalanced200/global_round_080.pt,gulfport,0.4625,800,0.4282107603330616,0.4971476684917218,80
flw_20250821_061455_epMix_fair_unbalanced200,models/flw/flw_20250821_061455_epMix_fair_unbalanced200/global_round_080.pt,south_louisiana,0.545,1200,0.5167256694743447,0.5729871299504302,80
flw_20250821_061455_epMix_fair_unbalanced200,models/flw/flw_20250821_061455_epMix_fair_unbalanced200/global_round_101.pt,gulfport,0.4625,800,0.4282107603330616,0.4971476684917218,101
flw_20250821_061455_epMix_fair_unbalanced200,models/flw/flw_20250821_061455_epMix_fair_unbalanced200/global_round_101.pt,south_louisiana,0.545,1200,0.5167256694743447,0.5729871299504302,101
flw_20250821_061455_epMix_fair_unbalanced200,models/flw/flw_20250821_061455_epMix_fair_unbalanced200/global_round_083.pt,gulfport,0.4625,800,0.4282107603330616,0.4971476684917218,83
flw_20250821_061455_epMix_fair_unbalanced200,models/flw/flw_20250821_061455_epMix_fair_unbalanced200/global_round_083.pt,south_louisiana,0.545,1200,0.5167256694743447,0.5729871299504302,83
