exp,tag,port,seed,success_rate,avg_reward,file
Balanced200,flw_20250821_055747_Balance200,baton_rouge,123,0.53375,32.795752981731866,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_baton_rouge_seed123.json
Balanced200,flw_20250821_055747_Balance200,baton_rouge,2025,0.530625,32.68831977718523,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_baton_rouge_seed2025.json
Balanced200,flw_20250821_055747_Balance200,baton_rouge,2718,0.535625,32.87146652122721,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_baton_rouge_seed2718.json
Balanced200,flw_20250821_055747_Balance200,baton_rouge,31415,0.5372916666666666,32.856883157550776,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_baton_rouge_seed31415.json
Balanced200,flw_20250821_055747_Balance200,baton_rouge,42,0.5420833333333334,32.92070180599318,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_baton_rouge_seed42.json
Balanced200,flw_20250821_055747_Balance200,gulfport,123,0.4525,22.72578410833366,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_gulfport_seed123.json
Balanced200,flw_20250821_055747_Balance200,gulfport,2025,0.444375,22.504377424255058,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_gulfport_seed2025.json
Balanced200,flw_20250821_055747_Balance200,gulfport,2718,0.460625,22.908126574665875,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_gulfport_seed2718.json
Balanced200,flw_20250821_055747_Balance200,gulfport,31415,0.473125,23.24909667957446,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_gulfport_seed31415.json
Balanced200,flw_20250821_055747_Balance200,gulfport,42,0.4515625,22.69207676979686,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_gulfport_seed42.json
Balanced200,flw_20250821_055747_Balance200,new_orleans,123,0.521375,27.220849396601555,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_new_orleans_seed123.json
Balanced200,flw_20250821_055747_Balance200,new_orleans,2025,0.528,27.38347385122734,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_new_orleans_seed2025.json
Balanced200,flw_20250821_055747_Balance200,new_orleans,2718,0.522875,27.14913805543669,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_new_orleans_seed2718.json
Balanced200,flw_20250821_055747_Balance200,new_orleans,31415,0.5225,27.22160485310782,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_new_orleans_seed31415.json
Balanced200,flw_20250821_055747_Balance200,new_orleans,42,0.525125,27.20190289394961,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_new_orleans_seed42.json
Balanced200,flw_20250821_055747_Balance200,south_louisiana,123,0.53375,30.016147382139632,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_south_louisiana_seed123.json
Balanced200,flw_20250821_055747_Balance200,south_louisiana,2025,0.530625,29.888570790009283,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_south_louisiana_seed2025.json
Balanced200,flw_20250821_055747_Balance200,south_louisiana,2718,0.535625,30.106184950586485,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_south_louisiana_seed2718.json
Balanced200,flw_20250821_055747_Balance200,south_louisiana,31415,0.5372916666666666,30.093527034616322,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_south_louisiana_seed31415.json
Balanced200,flw_20250821_055747_Balance200,south_louisiana,42,0.5420833333333334,30.167765021176287,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_south_louisiana_seed42.json
Unbalanced200,flw_20250821_060608_Unbalanced200_8_8_vs_2_2,baton_rouge,123,0.5064583333333333,32.020904929392785,reports/FLW_flw_20250821_060608_Unbalanced200_8_8_vs_2_2/nightly/forced_baton_rouge_seed123.json
Unbalanced200,flw_20250821_060608_Unbalanced200_8_8_vs_2_2,baton_rouge,2025,0.5022916666666667,31.9684957796496,reports/FLW_flw_20250821_060608_Unbalanced200_8_8_vs_2_2/nightly/forced_baton_rouge_seed2025.json
Unbalanced200,flw_20250821_060608_Unbalanced200_8_8_vs_2_2,baton_rouge,2718,0.5160416666666666,32.28389580943408,reports/FLW_flw_20250821_060608_Unbalanced200_8_8_vs_2_2/nightly/forced_baton_rouge_seed2718.json
Unbalanced200,flw_20250821_060608_Unbalanced200_8_8_vs_2_2,baton_rouge,31415,0.52875,32.47891232361646,reports/FLW_flw_20250821_060608_Unbalanced200_8_8_vs_2_2/nightly/forced_baton_rouge_seed31415.json
Unbalanced200,flw_20250821_060608_Unbalanced200_8_8_vs_2_2,baton_rouge,42,0.5191666666666667,32.338000029568946,reports/FLW_flw_20250821_060608_Unbalanced200_8_8_vs_2_2/nightly/forced_baton_rouge_seed42.json
Unbalanced200,flw_20250821_060608_Unbalanced200_8_8_vs_2_2,gulfport,123,0.425,22.03832847538304,reports/FLW_flw_20250821_060608_Unbalanced200_8_8_vs_2_2/nightly/forced_gulfport_seed123.json
Unbalanced200,flw_20250821_060608_Unbalanced200_8_8_vs_2_2,gulfport,2025,0.4234375,21.914670441205182,reports/FLW_flw_20250821_060608_Unbalanced200_8_8_vs_2_2/nightly/forced_gulfport_seed2025.json
Unbalanced200,flw_20250821_060608_Unbalanced200_8_8_vs_2_2,gulfport,2718,0.413125,21.644325178477146,reports/FLW_flw_20250821_060608_Unbalanced200_8_8_vs_2_2/nightly/forced_gulfport_seed2718.json
Unbalanced200,flw_20250821_060608_Unbalanced200_8_8_vs_2_2,gulfport,31415,0.408125,21.49556963684937,reports/FLW_flw_20250821_060608_Unbalanced200_8_8_vs_2_2/nightly/forced_gulfport_seed31415.json
