exp,macro,gap,pareto_score
Balanced200,0.5114930555555556,0.06944444444444442,0.44204861111111116
FairUnbalanced200,0.5116041666666666,0.06958333333333333,0.4420208333333333
Unbalanced200,0.49168055555555557,0.09027777777777785,0.4014027777777777
